npl,total assets,debt to equity,ROA,ROE - COM,Tier 1 capital ratio,net charge offs,total loans,TBTF ,Bank,loan deposit ratio,date,risk based capital ratio
5629,3324293,280.4747,0.729,8.2702,13.2,1534,1086151,1,Bank of America,0.562669917,2024-09-30,14.9
5975,3261519,257.1757,0.8424,9.5223,13.2,1466,1105380,1,Bank of America,0.562400692,2024-12-31,15.1
14.34,3542.061,40.9765,0.8395,7.92,17.35,1.141,2232.632,0,Busey,0.762726357,2014-03-31,18.64
11.232,3507.449,45.8243,0.8812,8.3142,17.2,0.998,2324.068,0,Busey,0.81217727,2014-06-30,18.49
8.681,3520.917,56.341,0.9103,8.7681,17.37,0.414,2379.915,0,Busey,0.842330309,2014-09-30,18.66
9,3665.607,70.0797,0.9097,9.1085,17.38,-0.439,2415.69,0,Busey,0.832753043,2014-12-31,18.66
10.202,3937.184,65.6378,0.873,8.9314,16.36,0.301,2484.851,0,Busey,0.780446216,2015-03-31,17.64
8.377,3885.274,63.1178,0.9306,9.3013,16.18,-0.068,2514.576,0,Busey,0.801908321,2015-06-30,17.46
7.875,3863.565,63.4721,0.9727,9.655,15.8,0.608,2581.014,0,Busey,0.829766631,2015-09-30,17.07
12.748,3998.976,82.5251,1.0178,11.5816,13.29,2.407,2637.09,0,Busey,0.801764978,2015-12-31,14.55
17.368,3890.63,78.5727,1.0649,10.9704,13.76,3.316,2585.512,0,Busey,0.812612517,2016-03-31,15.02
22.443,5510.199,83.4404,0.9393,9.1414,12.59,0.913,4059.091,0,Busey,0.925780059,2016-06-30,13.65
16.253,5592.241,102.319,1.0348,10.0796,12.8,-0.539,4073.995,0,Busey,0.939464859,2016-09-30,13.91
21.423,5425.17,69.8326,1.0546,11.1068,12.92,1.552,4135.219,0,Busey,0.945344602,2016-12-31,14.04
20.544,5438.935,52.1268,1.1668,11.0449,13.69,-0.147,3969.396,0,Busey,0.884930988,2017-03-31,14.87
18.935,5531.367,77.9475,1.0601,9.7443,13.6,-0.259,4088.879,0,Busey,0.930514732,2017-06-30,16.18
27.43,6913.789,78.5832,0.9897,8.6427,12.26,-0.34,5225.56,0,Busey,0.972507869,2017-09-30,14.38
24.624,7860.64,80.1808,0.9443,8.2031,12.14,0.262,5614.348,0,Busey,0.916483852,2017-12-31,14.15
32.588,7778.746,48.8753,1.0512,8.9962,12.32,1.941,5560.487,0,Busey,0.878271076,2018-03-31,14.32
25.215,7775.544,64.284,1.1702,9.9161,12.44,1.602,5589.261,0,Busey,0.906771706,2018-06-30,14.42
40.395,7889.385,69.5013,1.161,9.5045,12.5,1.32,5656.358,0,Busey,0.912968284,2018-09-30,14.34
34.997,7702.357,40.769,1.2713,10.2518,12.99,2.5,5594.323,0,Busey,0.895188933,2018-12-31,14.83
36.23,9537.334,43.6888,1.1836,9.6303,12.42,1.844,6535.372,0,Busey,0.841837143,2019-03-31,13.95
32.816,9612.667,40.6232,1.1698,9.4135,12.43,2.057,6571.733,0,Busey,0.838956562,2019-06-30,13.96
31.827,9753.76,40.9198,1.1299,9.1103,12.42,1.821,6739.76,0,Busey,0.849856742,2019-09-30,13.95
27.896,9695.729,39.1192,1.1835,9.2943,12.49,1.584,6755.948,0,Busey,0.854924,2019-12-31,14.03
25.672,9721.405,33.1542,0.9642,7.7253,12.2,3.413,6835.442,0,Busey,0.857298664,2020-03-31,13.85
25.095,10835.965,44.9583,0.9249,7.7525,12.73,1.229,7337.16,0,Busey,0.823505617,2020-06-30,16.23
23.898,10539.628,40.7629,0.9912,8.1378,13.08,2.754,7209.083,0,Busey,0.834123846,2020-09-30,16.63
22.93,10544.047,38.2884,0.9916,8.0581,13.44,0.934,6856.99,0,Busey,0.79017162,2020-12-31,17.04
21.706,10759.563,41.118,1.1991,9.8893,13.84,0.309,6817.572,0,Busey,0.768276938,2021-03-31,17.39
27.725,12415.449,43.9962,1.0903,9.8193,13.18,1.011,7203.484,0,Busey,0.696856193,2021-06-30,16.41
25.369,12899.33,46.0145,1.0399,9.4151,12.84,0.739,7170.86,0,Busey,0.662871895,2021-09-30,15.91
15.946,12859.689,48.4277,1.055,9.5358,12.73,0.179,7212.873,0,Busey,0.669807441,2021-12-31,15.7
12.488,12567.509,50.891,0.978,9.1851,12.76,-0.579,7279.638,0,Busey,0.687287643,2022-03-31,15.8
15.84,12356.433,55.2911,0.9214,9.1026,12.62,1.109,7502.591,0,Busey,0.721595314,2022-06-30,16.58
15.425,12497.388,53.1122,0.9753,10.153,12.62,0.399,7674.66,0,Busey,0.72392912,2022-09-30,15.98
15.067,12336.677,80.0804,1.0185,10.4103,12.78,-0.027,7726.955,0,Busey,0.767226708,2022-12-31,16.12
14.714,12344.555,96.8224,1.0971,11.31,12.99,0.834,7786.522,0,Busey,0.794448295,2023-03-31,16.4
15.209,12209.029,62.0132,1.1089,11.5231,13.17,0.715,7806.829,0,Busey,0.775814278,2023-06-30,16.56
11.298,12258.25,43.9519,1.06,11.4251,13.33,0.293,7859.211,0,Busey,0.760640307,2023-09-30,16.72
7.441,12283.415,41.1625,0.9957,10.1379,13.93,0.869,7653.413,0,Busey,0.743688367,2023-12-31,17.44
17.465,11887.458,35.3339,0.9244,9.0282,14.115,5.216,7594.904,0,Busey,0.76252594,2024-03-31,17.95
8.393,11971.416,34.0146,0.9098,8.6757,14.3,15.072,8010.198,0,Busey,0.802936007,2024-06-30,17.5
8.192,11986.839,31.5161,0.9184,8.5872,14.04,0.247,7820.62,0,Busey,0.786526244,2024-09-30,18.19
23.237,12046.722,33.9188,0.9346,8.5635,14.65,2.85,7700.744,0,Busey,0.771425165,2024-12-31,18.53
259.9,103832.6,80.6223,0.7601,9.4651,13,1.5,29660.8,0,Northern Trust,0.343822775,2014-03-31,15.5
229.3,105761.2,67.978,0.7286,9.2255,12.9,5.9,30697.6,0,Northern Trust,0.345450556,2014-06-30,14.9
220.5,111153.7,79.4173,0.7121,9.0826,13.4,5.2,30719.9,0,Northern Trust,0.334922184,2014-09-30,15.3
215.7,109946.5,81.5787,0.7626,9.8795,13.2,5.4,31640.2,0,Northern Trust,0.34862545,2014-12-31,15
219.6,106952,82.153,0.817,10.2874,12.4,4.6,32630.2,0,Northern Trust,0.376199178,2015-03-31,14.2
208.7,119942.9,78.1868,0.8404,11.1709,11.2,2.6,32953.8,0,Northern Trust,0.327286596,2015-06-30,13.2
198.6,119995.2,91.9517,0.8466,11.3619,11,9.4,33378.4,0,Northern Trust,0.333998093,2015-09-30,12.8
180.1,116749.6,93.0312,0.8591,11.476,11.4,2.9,33180.9,0,Northern Trust,0.342534085,2015-12-31,13.2
164,117798.8,90.1164,0.8796,11.5002,12.1,2.7,34144.9,0,Northern Trust,0.349631782,2016-03-31,13.6
152.2,121509.6,112.847,0.8137,11.193,12,2.4,34557.1,0,Northern Trust,0.348755486,2016-06-30,13.5
173.3,120085,82.0205,0.8375,11.3304,13.1,-0.8,33423,0,Northern Trust,0.336006466,2016-09-30,14.5
160.2,123926.9,91.0188,0.858,11.5678,12.9,10.9,33822.1,0,Northern Trust,0.332725375,2016-12-31,14.5
179.9,121488.7,79.9363,0.8886,11.5287,13.4,2,33471.8,0,Northern Trust,0.332955003,2017-03-31,15
159,125605.7,80.6563,0.8645,11.4515,13.5,3.2,33499,0,Northern Trust,0.321142034,2017-06-30,15.6
137.3,131400.2,119.5884,0.8819,11.6278,13.4,-1.6,33336.1,0,Northern Trust,0.315054446,2017-09-30,15.4
150.7,138590.5,121.3318,0.9135,12.456,13.8,6.6,32592.2,0,Northern Trust,0.289989928,2017-12-31,15.8
124.7,129672.2,42.4447,1.0388,13.4905,13.6,3,32108.9,0,Northern Trust,0.305242634,2018-03-31,15.5
128.4,135106.2,145.0548,1.0947,14.6366,13.6,0.1,32473.2,0,Northern Trust,0.304841403,2018-06-30,15.6
113.6,132378.5,57.7076,1.1397,15.3695,14.2,-0.3,31354,0,Northern Trust,0.298918976,2018-09-30,16.2
109.3,132212.5,58.6565,1.1495,15.7707,14.1,-1.7,32490,0,Northern Trust,0.310918612,2018-12-31,16.1
116.1,121869.4,43.6003,1.2101,14.5921,14.3,-1.2,30620.6,0,Northern Trust,0.319483078,2019-03-31,16.3
115.1,126550.9,46.0506,1.1625,15.0162,14.5,-1.2,30982.3,0,Northern Trust,0.309110809,2019-06-30,16.4
113.1,124355.8,46.7428,1.1927,14.4488,14.1,-0.6,30844.2,0,Northern Trust,0.317117706,2019-09-30,16
83.6,136828.4,50.8926,1.1093,13.7944,14.5,0.7,31409.6,0,Northern Trust,0.287842992,2019-12-31,16.3
103.9,161709.2,78.5582,1.0619,13.3013,12.8,-2.6,37837.7,0,Northern Trust,0.28775842,2020-03-31,14.5
98.5,151432.9,51.8055,1.0285,12.7197,14.6,0.7,33757.3,0,Northern Trust,0.276576535,2020-06-30,16.5
98,152082,65.6597,0.9691,11.3202,14.5,-2.6,32766.3,0,Northern Trust,0.267285591,2020-09-30,16.5
131.7,170003.9,47.8265,0.7882,10.018,13.9,-0.4,33759.7,0,Northern Trust,0.234641154,2020-12-31,15.6
123.8,163924.1,86.9191,0.7516,10.4757,13,-0.9,34344.3,0,Northern Trust,0.249854137,2021-03-31,14.5
106.5,172291.1,42.3615,0.7899,10.559,13.1,-3.2,37406.6,0,Northern Trust,0.255841248,2021-06-30,14.5
141,169085.7,38.1551,0.8592,11.301,12.9,-1.1,39456.6,0,Northern Trust,0.278011,2021-09-30,14.3
122.3,183889.8,40.3302,0.8733,12.5763,12.9,-1.1,40480.6,0,Northern Trust,0.25311702,2021-12-31,14.1
100.8,172565,64.2903,0.9269,13.1663,12.4,-3.2,39239.1,0,Northern Trust,0.262241562,2022-03-31,13.6
89.7,157786.3,50.4847,0.962,13.3974,11.5,-5.5,41207.8,0,Northern Trust,0.308269484,2022-06-30,12.6
76.4,159839.6,78.8902,0.9648,13.3665,11.1,4.5,43991.9,0,Northern Trust,0.34222318,2022-09-30,12.2
45.9,155036.7,69.9916,0.7884,11.0191,11.8,4.95,42893.3,0,Northern Trust,0.346103229,2022-12-31,13.9
48.9,151108,83.625,0.7917,10.676,12.3,2.9,42369.5,0,Northern Trust,0.37255314,2023-03-31,14.4
47.1,156752.5,129.9759,0.7738,10.2444,12.3,2.4,43546.7,0,Northern Trust,0.384675929,2023-06-30,14.4
68.8,146330.6,108.3361,0.7512,9.5824,12.4,1.9,43577,0,Northern Trust,0.395557972,2023-09-30,14.5
63.6,150783.1,145.6501,0.7242,9.1022,12.3,2.4,47617,0,Northern Trust,0.409911849,2023-12-31,14.2
37,156111,135.9352,0.6428,7.8922,12.4,10.4,47342.6,0,Northern Trust,0.381974751,2024-03-31,14.2
38.5,156797.1,131.768,0.9898,12.3123,13.5664,-0.1,42135.2,0,Northern Trust,0.342587948,2024-06-30,15.5307
39.3,155753.8,131.2574,1.1181,13.2705,13.6,-2.4,41950.3,0,Northern Trust,0.346172286,2024-09-30,15.6
56,155508.4,125.8836,1.3263,15.9807,13.3,3.4,43390.6,0,Northern Trust,0.35425901,2024-12-31,15.1
1619,371289,127.6349,1.5976,15.3728,11.4,341,240218,1,US Bank,15.3728,2014-03-31,13.5
1596,389065,126.7506,1.5666,15.2619,11.3,349,246892,1,US Bank,15.2619,2014-06-30,13.2
1567,391284,138.7506,1.5477,15.0909,11.3,336,249530,1,US Bank,15.0909,2014-09-30,13.6
1466,402529,140.7195,1.5266,14.9079,11.3,308,252643,1,US Bank,14.9079,2014-12-31,13.6
1350,410233,140.8429,1.506,14.6928,11.1,279,253313,1,US Bank,14.6928,2015-03-31,13.3
1239,419075,136.9083,1.4535,14.4949,11,296,257137,1,US Bank,14.4949,2015-06-30,13.1
1242,415943,129.8294,1.4596,14.3572,11.1,292,259263,1,US Bank,14.3572,2015-09-30,13.1
1192,421853,128.0625,1.4263,14.1996,11.3,305,264033,1,US Bank,14.1996,2015-12-31,13.3
1425,428638,123.7503,1.3909,13.859,11.1,315,268527,1,US Bank,13.859,2016-03-31,13.1
1389,438463,115.2928,1.3697,13.7507,11.1,317,272832,1,US Bank,13.7507,2016-06-30,13.4
1400,454134,110.8969,1.353,13.6282,11.1,315,276864,1,US Bank,13.6282,2016-09-30,13.3
1368,445964,98.6502,1.357,13.6222,11,322,278033,1,US Bank,13.6222,2016-12-31,13.2
1290,449522,99.3765,1.3608,13.5638,11,335,276315,1,US Bank,13.5638,2017-03-31,13.3
